dessert_category,region,query,name,road_address,jibun_address,telephone,naver_link,category_text,longitude,latitude,geocode_error
saltbread,daegu,대구 달성군 소금빵,카프리쵸사 현풍 본점,"대구광역시 달성군 유가읍 테크노상업로 120 1층 121, 122호","대구광역시 달성군 유가읍 봉리 619 1층 121, 122호",,https://www.instagram.com/caprichosa_ccb,"카페,디저트>베이커리",128.4628865,35.6930595,
saltbread,daegu,대구 달성군 소금빵,주리485,대구광역시 달성군 가창면 주리2길 48 주리485카페,대구광역시 달성군 가창면 주리 485-1 주리485카페,,https://www.instagram.com/juri.485,"음식점>카페,디저트",128.6232338,35.7517181,
saltbread,daegu,대구 달성군 소금빵,오퐁드부아,대구광역시 달성군 가창면 주리2길 104,대구광역시 달성군 가창면 주리 520,,https://blog.naver.com/aufonddubois,"음식점>카페,디저트",128.618046,35.7525228,
saltbread,daegu,대구 달서구 소금빵,브로 커피앤베이커리,대구광역시 달서구 수밭서길 11 Bro coffee&bakery,대구광역시 달서구 도원동 972-9 Bro coffee&bakery,,,"음식점>카페,디저트",128.5478344,35.7972111,
saltbread,daegu,대구 달서구 소금빵,우즈베이커리 대곡점,대구광역시 달서구 갈밭로 76 1.2층,대구광역시 달서구 대곡동 1056-1 1.2층,,http://www.wooz.kr/,"음식점>카페,디저트>베이커리",128.5284701,35.8055942,
saltbread,daegu,대구 소금빵,라부아뜨엘,대구광역시 수성구 지범로 248-6 1층,대구광역시 수성구 범물동 1374-14 1층,,http://pf.kakao.com/_xoxjmyG,"음식점>카페,디저트",128.6442376,35.8175122,
saltbread,daegu,대구 달서구 소금빵,스테이블모먼트 월배점,대구광역시 달서구 조암남로32길 24 스테이블모먼트,대구광역시 달서구 대천동 936 스테이블모먼트,,http://instagram.com/stable_moment02,"음식점>카페,디저트",128.5162767,35.8187953,
saltbread,daegu,대구 달서구 소금빵,빠다롤 더 테라스,대구광역시 달서구 조암남로14길 42,대구광역시 달서구 월성동 1180,,,"카페,디저트>베이커리",128.5255382,35.8227121,
saltbread,daegu,대구 달서구 소금빵,카페 엠엔티 신월성 본점,대구광역시 달서구 조암남로14길 52-2 cafe mnt,대구광역시 달서구 월성동 1187-2 cafe mnt,,http://instagram.com/cafe.mnt,"음식점>카페,디저트",128.5259861,35.8230393,
saltbread,daegu,대구 수성구 소금빵,라봉봉제과점,대구광역시 수성구 지범로21길 10,대구광역시 수성구 지산동 1279-11,,,"카페,디저트>베이커리",128.6367057,35.8244478,
saltbread,daegu,대구 수성구 소금빵,삼송1957,대구광역시 수성구 수성못2길 26 삼송 1957,대구광역시 수성구 두산동 695 삼송 1957,,https://www.ssbnc.kr/pg/bbs/board.php?bo_table=store2,"카페,디저트>베이커리",128.6245063,35.8253427,
saltbread,daegu,대구 수성구 소금빵,포켓,대구광역시 수성구 수성못길 20 카페 포켓,대구광역시 수성구 두산동 653-8 카페 포켓,,https://www.instagram.com/cafe__pocket_,"카페,디저트>베이커리",128.6222314,35.8265864,
saltbread,daegu,대구 남구 소금빵,카펠라,대구광역시 남구 앞산순환로 449,대구광역시 남구 대명동 548-1,,https://www.instagram.com/coffee_capella?igsh=MXNhM2l0OXZpdXh0eQ==,"음식점>카페,디저트",128.5740189,35.8315701,
